Ns;Groupes;N;Ncir;Lcir;Ncal;Lcal1;Wcal1;Lcallg;Wcallg;Hrad;Hinterad;Dprox;Dapex;Wrdle;LinteradG;Lrad;LinteradD;WIbr1;WIbr2;LIbr2;WIIbr1;LIIbr1;WIIbr2;LIIbr2;WIIbr3;LIIbr3;WIIbr4;LIIbr4;WIIbr5;LIIbr5;WIIbr6;LIIbr6;WIIbr7;LIIbr7;WIIbr8;LIIbr8;LP1;NPiP1 ;W1Pi1;L1Pi1;LP2;NPiP2;W1Pi2;L1Pi2;LP3;NPiP3;W1Pi3;L1Pi3;LP4;NPiP4;W1Pi4;L1Pi4;LP5;NPiP5;W1Pi5;L1Pi5;LPmed;NPiPmed;W1Pimed;L1Pimed;LPdis;NPiPdis;W1Pidis;L1Pidis;Morphologie;Sygyzie 1;Sygyzie 2;Sygyzie 3
Nv_24_1865_COI;1;116_9_24;25,00;59,51;54,00;0,80;1,40;1,10;1,10;3,90;3,40;4,90;1,70;2,60;1,50;1,10;1,30;2,30;3,10;2,60;2,10;1,10;1,90;1,70;1,90;0,80;1,80;0,90;1,80;1,40;1,70;1,20;1,90;1,40;1,80;0,90;0,45;12,00;0,85;1,10;0,60;13,00;0,65;0,90;0,70;9,00;0,60;0,85;0,65;8,00;0,80;0,80;0,55;12,00;0,65;0,70;NA;NA;NA;NA;NA;NA;NA;NA;8;s9,10;s16,17;s20,21
Nv_153_1865_COI;1;164_4_153;33,00;41,43;42,00;0,70;1,50;1,10;1,10;4,20;5,00;5,50;1,50;3,60;2,00;1,20;1,80;3,10;4,10;3,20;2,70;1,10;3,00;2,30;3,00;1,20;2,90;1,10;2,90;1,90;2,90;1,70;2,80;1,80;2,80;1,70;13,38;14,00;0,85;1,05;15,41;17,00;0,90;0,75;20,53;22,00;1,05;0,75;19,81;21,00;0,85;0,80;19,91;23,00;1,05;0,75;19,93;24,00;1,10;0,70;NA;NA;0,85;0,75;9;s10,11;s17,18;s21,22
Nv_154_1736_COI;1;164_4_154;36,00;87,03;72,00;0,70;1,50;1,20;1,30;4,00;4,50;5,70;1,10;3,50;1,30;1,10;1,70;2,80;3,90;3,00;2,50;1,20;2,50;2,10;2,40;1,20;2,40;1,10;2,50;1,80;2,50;1,60;2,40;1,50;2,30;1,40;13,91;18,00;0,80;1,15;14,77;15,00;0,65;0,85;15,58;16,00;0,75;0,75;11,97;18,00;0,80;0,65;13,15;17,00;0,90;0,70;15,77;21,00;0,90;0,70;21,49;29,00;0,80;0,65;11;s9,10;s16,17;s20,21
Nv_155_1865_COI;1;164_4_155;34,00;92,21;71,00;0,80;1,60;1,28;1,12;5,12;7,04;6,24;1,10;4,00;1,60;1,12;2,08;3,20;4,96;4,32;3,36;1,60;3,04;2,56;3,20;1,12;3,04;1,28;2,88;2,72;2,88;2,08;2,72;2,24;2,72;1,12;14,86;17,00;0,55;0,75;18,24;20,00;0,60;0,70;22,57;24,00;0,75;0,90;20,90;22,00;1,05;0,80;20,30;15,00;1,10;0,75;18,90;22,00;2,15;0,75;NA;NA;0,75;0,60;10;s8,9;s15,16;s20,21
Nv_354_1736_COI;1;197_5_354;43,00;43,26;50,00;0,70;1,90;0,90;0,90;8,10;9,40;8,70;1,80;5,60;2,30;2,00;2,20;4,80;6,30;5,10;4,00;2,00;4,20;3,30;4,30;0,90;3,90;1,10;4,00;2,20;4,00;2,10;4,00;1,80;3,90;1,90;18,47;18,00;1,05;1,20;15,92;19,00;1,10;1,05;21,97;17,00;1,25;0,95;20,15;19,00;1,25;0,85;21,50;20,00;1,30;1,10;23,99;21,00;1,10;1,10;25,47;28,00;1,10;1,05;9;s7,8;s11,12;s16,17
SSh-EM-Nv451;1;222_6_451;35,00;71,26;61,00;0,60;1,10;1,05;1,05;3,50;3,80;4,00;1,10;2,50;2,40;1,10;1,30;1,80;2,70;2,40;1,90;1,10;2,00;1,50;1,70;1,10;1,80;0,90;1,80;1,20;1,70;1,30;1,60;1,10;1,70;1,10;NA;NA;0,50;0,50;NA;NA;0,45;0,45;NA;NA;0,60;0,50;NA;NA;0,55;0,40;NA;NA;0,60;0,55;NA;NA;0,50;0,35;NA;NA;0,55;0,25;8;s9,10;s14,15;s18,19
Nv_31_1865_COI;1;116_9_31;33,00;86,86;69,00;0,80;1,30;1,10;1,15;7,10;8,30;8,40;1,45;3,90;2,10;2,00;2,30;3,40;4,70;4,10;2,60;1,50;2,80;2,40;2,90;1,10;3,00;1,20;3,00;2,10;2,70;1,90;2,80;1,60;2,90;1,10;14,51;13,00;0,80;0,75;NA;12,00;1,05;0,90;NA;13,00;1,05;1,05;NA;16,00;1,05;0,65;NA;10,00;1,10;0,60;NA;21,00;1,15;0,75;NA;21,00;1,05;0,70;8;s9,10;s14,15;s17,18
Nv_331_1865_COI;1;197_5_331;41,00;121,92;70,00;0,75;1,05;1,30;1,20;7,20;8,40;8,20;1,80;4,90;1,60;0,90;1,60;4,60;4,70;3,50;3,00;1,50;3,60;2,50;4,00;1,10;3,80;1,20;3,80;2,40;3,90;2,30;3,70;2,10;3,60;1,50;NA;15,00;1,15;1,20;NA;21,00;1,30;0,85;NA;23,00;1,40;1,05;NA;24,00;1,35;0,65;NA;19,00;1,30;0,70;NA;24,00;1,30;0,70;NA;29,00;1,35;0,45;11;s9,10;s12,13;s16,17
Nv_26;1;116_9_26;28,00;NA;NA;0,60;1,40;1,10;1,10;7,20;7,50;7,70;1,20;4,50;2,00;1,30;2,20;3,50;4,60;4,40;3,40;1,30;3,10;2,50;3,20;1,10;3,10;1,10;2,90;2,10;3,00;1,60;2,80;1,70;2,80;0,70;NA;NA;0,85;1,10;NA;NA;1,05;0,85;NA;NA;1,10;1,10;NA;NA;1,05;0,85;NA;NA;1,15;0,85;NA;NA;1,05;0,65;NA;NA;NA;NA;9;s7,8;s13,14;NA
Nv_337_1865_COI;1;197_5_337;34,00;NA;NA;0,70;1,70;1,20;1,30;6,20;6,60;7,20;1,10;3,70;1,70;1,30;1,80;3,30;4,30;3,60;3,30;1,30;3,20;2,30;3,00;0,90;3,10;1,10;3,00;1,80;2,80;1,50;2,70;1,40;2,90;1,50;NA;NA;0,75;0,85;NA;NA;0,85;0,75;NA;NA;1,05;0,80;NA;NA;0,90;0,75;NA;NA;0,90;0,75;NA;NA;0,90;0,70;NA;NA;NA;NA;8;s9,10;s15,16;s19,20
Nv_356_1736_COI;1;197_5_356;36,00;NA;NA;0,80;1,90;1,30;1,50;6,40;7,30;9,50;1,90;4,70;1,90;1,20;1,70;3,60;4,80;4,30;3,30;1,30;3,40;2,40;3,30;0,70;3,50;0,90;3,30;2,00;3,40;1,70;3,30;1,60;3,20;1,30;NA;NA;0,85;0,95;NA;NA;1,05;0,95;NA;NA;1,15;0,85;NA;NA;1,15;0,80;NA;NA;1,25;0,85;NA;NA;0,95;0,70;NA;NA;NA;NA;9;s10,11;s13,14;s16,17
