Ns;Groupes;N;Lcal1;Wcal1;Lcallg;Wcallg;Hrad;Hinterad;Dprox;Dapex;Wrdle;LinteradG;Lrad;LinteradD;WIbr1;WIbr2;LIbr2;WIIbr1;LIIbr1;WIIbr2;LIIbr2;WIIbr3;LIIbr3;WIIbr4;LIIbr4;WIIbr5;LIIbr5;WIIbr6;LIIbr6;WIIbr7;LIIbr7;WIIbr8;LIIbr8;W1Pi1;L1Pi1;W1Pi2;L1Pi2;W1Pi3;L1Pi3;W1Pi4;L1Pi4;W1Pi5;L1Pi5
Nv_24_1865_COI;1;116_9_24;0,80;1,40;1,10;1,10;3,90;3,40;4,90;1,70;2,60;1,50;1,10;1,30;2,30;3,10;2,60;2,10;1,10;1,90;1,70;1,90;0,80;1,80;0,90;1,80;1,40;1,70;1,20;1,90;1,40;1,80;0,90;0,85;1,10;0,65;0,90;0,60;0,85;0,80;0,80;0,65;0,70
Nv_153_1865_COI;1;164_4_153;0,70;1,50;1,10;1,10;4,20;5,00;5,50;1,50;3,60;2,00;1,20;1,80;3,10;4,10;3,20;2,70;1,10;3,00;2,30;3,00;1,20;2,90;1,10;2,90;1,90;2,90;1,70;2,80;1,80;2,80;1,70;0,85;1,05;0,90;0,75;1,05;0,75;0,85;0,80;1,05;0,75
Nv_154_1736_COI;1;164_4_154;0,70;1,50;1,20;1,30;4,00;4,50;5,70;1,10;3,50;1,30;1,10;1,70;2,80;3,90;3,00;2,50;1,20;2,50;2,10;2,40;1,20;2,40;1,10;2,50;1,80;2,50;1,60;2,40;1,50;2,30;1,40;0,80;1,15;0,65;0,85;0,75;0,75;0,80;0,65;0,90;0,70
Nv_155_1865_COI;1;164_4_155;0,80;1,60;1,28;1,12;5,12;7,04;6,24;1,10;4,00;1,60;1,12;2,08;3,20;4,96;4,32;3,36;1,60;3,04;2,56;3,20;1,12;3,04;1,28;2,88;2,72;2,88;2,08;2,72;2,24;2,72;1,12;0,55;0,75;0,60;0,70;0,75;0,90;1,05;0,80;1,10;0,75
Nv_354_1736_COI;1;197_5_354;0,70;1,90;0,90;0,90;8,10;9,40;8,70;1,80;5,60;2,30;2,00;2,20;4,80;6,30;5,10;4,00;1,50;4,20;3,30;4,30;0,90;3,90;1,10;4,00;2,20;4,00;2,10;4,00;1,80;3,90;1,90;1,05;1,20;1,10;1,05;1,25;0,95;1,25;0,85;1,30;1,10
SSh-EM-Nv451;1;222_6_451;0,60;1,10;1,05;1,05;3,50;3,80;4,00;1,10;2,50;2,40;1,10;1,30;1,80;2,70;2,40;1,90;1,10;2,00;1,50;1,70;1,10;1,80;0,90;1,80;1,20;1,70;1,30;1,60;1,10;1,70;1,10;0,50;0,50;0,45;0,45;0,60;0,50;0,55;0,40;0,60;0,55
Nv_31_1865_COI;1;116_9_31;0,80;1,30;1,10;1,15;7,10;8,30;8,40;1,45;3,90;2,10;2,00;2,30;3,40;4,70;4,10;2,60;1,50;2,80;2,40;2,90;1,10;3,00;1,20;3,00;2,10;2,70;1,90;2,80;1,60;2,90;1,10;0,80;0,75;1,05;0,90;1,05;1,05;1,05;0,65;1,10;0,60
Nv_331_1865_COI;1;197_5_331;0,75;1,05;1,30;1,20;7,20;8,40;8,20;1,80;4,90;1,60;0,90;1,60;4,60;4,70;3,50;3,00;1,50;3,60;2,50;4,00;1,10;3,80;1,20;3,80;2,40;3,90;2,30;3,70;2,10;3,60;1,50;1,15;1,20;1,30;0,85;1,40;1,05;1,35;0,65;1,30;0,70
Nv_26;1;116_9_26;0,60;1,40;1,10;1,10;7,20;7,50;7,70;1,20;4,50;2,00;1,30;2,20;3,50;4,60;4,40;3,40;1,30;3,10;2,50;3,20;1,10;3,10;1,10;2,90;2,10;3,00;1,60;2,80;1,70;2,80;0,70;0,85;1,10;1,05;0,85;1,10;1,10;1,05;0,85;1,15;0,85
Nv_337_1865_COI;1;197_5_337;0,70;1,70;1,20;1,30;6,20;6,60;7,20;1,10;3,70;1,70;1,30;1,80;3,30;4,30;3,60;3,30;1,30;3,20;2,30;3,00;0,90;3,10;1,10;3,00;1,80;2,80;1,50;2,70;1,40;2,90;1,50;0,75;0,85;0,85;0,75;1,05;0,80;0,90;0,75;0,90;0,75
